"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageBackend","not-updated","A <backend> is identified by an url like ftp://host/ or ssh://server/.
 Using this system, Duplicati can detect if you want to backup or restore.
 The cleanup and delete commands do not delete files, unless the --force option is specified, so you may examine what files are affected, before actually deleting the files.
 The cleanup command should not be used unless a backup was interrupted and has left partial files. Duplicati will inform you if this happens.
 The delete command can be used to remove backup sets when newer backups are present.",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageBackup","not-updated","Backup (make a full or incremental backup):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageCleanup","not-updated","Cleanup (remove partial and unused files):
  Duplicati.CommandLine cleanup [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageCreateFolders","not-updated","Create folder (usually done automatically):
  Duplicati.CommandLine create-folder [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageDeleteOld","not-updated","Delete old backups:
  Duplicati.CommandLine delete-all-but-n-full <number of full backups to keep> [options] <backend>
  Duplicati.CommandLine delete-older-than <max allowed age> [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageFilters","not-updated","Filters:
 Duplicati uses filters to include and exclude files.
  Duplicati uses a ""first-touch"" filter where the first rule that matches a file determines if the file is included or excluded. Internally Duplicati uses regular expression filters, but supports filters in the form of filename globbing. The order of the commandline arguments also determine what order they are applied in. An example:
    --include=*.txt --exclude=*\Thumbs.db --include=*

  Even though the last filter includes everything, no files named ""Thumbs.db"" are included because they match the exclude rule before the include rule. Paths are evaluated in full, and as paths that are relative to folder being backed up, but including a leading slash. An example:

{0}
  If a folder is excluded, files in that folder are always excluded, even if there are filters that include files in that folder. If a folder is included with a wildcard at the end, all files are included, if the folder is included without a wildcard, files may be excluded or included with extra rules.",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageFindLastVersion","not-updated","Find the last version of a file:
  Duplicati.CommandLine find-last-version [options] --file-to-restore=<files to find> <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageHeader","not-updated","********** Duplicati v. {0} **********

Usage:",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageListContentFiles","not-updated","List content files (files that can be restored):
  Duplicati.CommandLine list-current-files [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageListFiles","not-updated","List files:
  Duplicati.CommandLine list [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageListSets","not-updated","List backup sets:
  Duplicati.CommandLine collection-status [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageListSignatureFiles","not-updated","List signature files (files in a single backup volume set):
  Duplicati.CommandLine list-actual-signature-files [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageListSourceFolders","not-updated","List source folders (folders backed up from):
  Duplicati.CommandLine list-source-folders [options] <backend>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageOptionTypes","not-updated","Option types:
 The following option types are available:
  Integer: a numerical value
  Boolean: a truth value, --force and --force=true are equivalent. --force=false is the opposite
  Timespan: a time in the special time format (explained below)
  Size: a size like 5mb or 200kb
  Enumeration: any of the listed values
  Path: the path to a folder or file
  String: any other type",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsagePurgeCache","not-updated","Purge signature cache:
  Duplicati.CommandLine purge-signature-cache [options]",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageRestore","not-updated","Restore (restore all or some files):
  Duplicati.CommandLine [options] <backend> <destinationfolder>",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageTimes","not-updated","Times:
 Duplicati uses the time system from duplicity, where times may be presented as:
  1: the string ""now"", indicating the current time
  2: the number of seconds after epoch, eg: 123456890
  3: a string like ""2009-03-26T08:30:00+01:00""
  4: an interval string, using Y, M, W, D, h, m, s for Year, Month, Week, Day, hour, minute or second, eg: ""1M4D"" for one month and four days, or ""5m"" for five minutes.",""
"CommandLine\Strings\Program.zh-CN.resx","ProgramUsageVerify","not-updated","Verify backup integrity:
  Duplicati.CommandLine verify <backend> --verification-level=manifest|signatures|full",""
"CommandLine\Strings\Program.zh-CN.resx","SupportedBackendsHeader","not-updated","Supported backends:",""
"CommandLine\Strings\Program.zh-CN.resx","SupportedCompressionModulesHeader","not-updated","Supported compression modules:",""
"CommandLine\Strings\Program.zh-CN.resx","SupportedEncryptionModulesHeader","not-updated","Supported encryption modules:",""
"CommandLine\Strings\Program.zh-CN.resx","SupportedOptionsHeader","not-updated","Supported options:",""
"CommandLine\Strings\Program.zh-CN.resx","TimeParseError","not-updated","Unable to parse ""{0}"" into a time offset: {1}",""
"CommandLine\Strings\Program.zh-CN.resx","UnhandledException","not-updated","An error occured: {0}",""
"CommandLine\Strings\Program.zh-CN.resx","UnhandledInnerException","not-updated","The inner error message is: {0}",""
"CommandLine\Strings\Program.zh-CN.resx","UsageExampleLinux","not-updated","Duplicati.CommandLine /home/user/ ftp://host/folder --exclude=/file.txt

  In this example the file ""/home/user/file.txt"" is excluded.",""
"CommandLine\Strings\Program.zh-CN.resx","UsageExampleWindows","not-updated","Duplicati.CommandLine C:\Documents\Files ftp://host/folder --exclude=\file.txt

  In this example the file ""C:\Documents\Files\file.txt"" is excluded.",""
"CommandLine\Strings\Program.zh-CN.resx","VerificationCompleted","not-updated","Verification completed, summary:
Manifest files verified: {0}
Signature files verified: {1}
Content files verified: {2}
Errors: {3}",""
"CommandLine\Strings\Program.zh-CN.resx","VerificationErrorHeader","not-updated","Reported error messages:",""
"CommandLine\Strings\Program.zh-CN.resx","WrongNumberOfCommandsError_v2","not-updated","Found {0} commands but expected {1}, commands: 
{2}",""
"GUI\ApplicationSetup.zh-CN.resx","$this.Text","missing","Duplicati Options",""
"GUI\ApplicationSetup.zh-CN.resx","AdvancedTab.Text","missing","Advanced",""
"GUI\ApplicationSetup.zh-CN.resx","BalloonNotificationLevel.ToolTip","missing","Choose the level of notification given by balloon tips",""
"GUI\ApplicationSetup.zh-CN.resx","Bandwidth.ToolTip","missing","Set the initial bandwidth limits to use in Duplicati",""
"GUI\ApplicationSetup.zh-CN.resx","BasicTab.Text","missing","Basic",""
"GUI\ApplicationSetup.zh-CN.resx","CacheSizeLabel.Text","missing","Calculating cache size...",""
"GUI\ApplicationSetup.zh-CN.resx","CancelBtn.Text","missing","Cancel",""
"GUI\ApplicationSetup.zh-CN.resx","ClearCacheButton.Text","missing","Clear cache",""
"GUI\ApplicationSetup.zh-CN.resx","ClearCacheButton.ToolTip","missing","Clear any signature files stored in cache. Signatures will be re-downloaded on next backup.",""
"GUI\ApplicationSetup.zh-CN.resx","CommonPassword.ToolTip","missing","Enter the default password to apply to new backups",""
"GUI\ApplicationSetup.zh-CN.resx","EncryptionMethod.Text","missing","Encryption method:",""
"GUI\ApplicationSetup.zh-CN.resx","EncryptionMethod.ToolTip","missing","Choose the default encryption module to use for new backups",""
"GUI\ApplicationSetup.zh-CN.resx","EncryptionModule.ToolTip","missing","Choose the default encryption module to use for new backups",""
"GUI\ApplicationSetup.zh-CN.resx","groupBox1.Text","missing","User interface",""
"GUI\ApplicationSetup.zh-CN.resx","groupBox2.Text","missing","Cache",""
"GUI\ApplicationSetup.zh-CN.resx","groupBox4.Text","missing","Default throttle settings",""
"GUI\ApplicationSetup.zh-CN.resx","HideDonateButton.Text","missing","Hide Donate button on the main wizard page",""
"GUI\ApplicationSetup.zh-CN.resx","label1.Text","missing","Time to display past backups in log:",""
"GUI\ApplicationSetup.zh-CN.resx","label1.ToolTip","missing","Select the time a backup is displayed in the log window after completion",""
"GUI\ApplicationSetup.zh-CN.resx","label2.Text","missing","Sections:",""
"GUI\ApplicationSetup.zh-CN.resx","label3.Text","missing","Language:",""
"GUI\ApplicationSetup.zh-CN.resx","label3.ToolTip","missing","Select user interface language (requires restart)",""
"GUI\ApplicationSetup.zh-CN.resx","label4.Text","missing","Temporary folder:",""
"GUI\ApplicationSetup.zh-CN.resx","label6.Text","missing","Content:",""
"GUI\ApplicationSetup.zh-CN.resx","label7.Text","missing","Time to wait after startup:",""
"GUI\ApplicationSetup.zh-CN.resx","label7.ToolTip","missing","Select the amount of time Duplicati is paused after startup",""
"GUI\ApplicationSetup.zh-CN.resx","label8.Text","missing","Backup notifications:",""
"GUI\ApplicationSetup.zh-CN.resx","label8.ToolTip","missing","Choose the level of notification given by balloon tips",""
"GUI\ApplicationSetup.zh-CN.resx","LanguageSelection.ToolTip","missing","Choose the language for the user interface (requires restart)",""
"GUI\ApplicationSetup.zh-CN.resx","LicenseLink.Text","missing","Homepage",""
"GUI\ApplicationSetup.zh-CN.resx","LicenseLink.ToolTip","missing","Click to go to the homepage of the currently selected section",""
"GUI\ApplicationSetup.zh-CN.resx","LicenseSections.ToolTip","missing","Lists the available license sections",""
"GUI\ApplicationSetup.zh-CN.resx","LicenseTab.Text","missing","License",""
"GUI\ApplicationSetup.zh-CN.resx","OKBtn.Text","missing","OK",""
"GUI\ApplicationSetup.zh-CN.resx","PasswordDefaultsGroup.Text","missing","Default password",""
"GUI\ApplicationSetup.zh-CN.resx","RecentDuration.ToolTip","missing","Select the time a backup is displayed in the log window after completion",""
"GUI\ApplicationSetup.zh-CN.resx","SignatureCacheEnabled.Text","missing","Signature cache:",""
"GUI\ApplicationSetup.zh-CN.resx","SignatureCacheEnabled.ToolTip","missing","A signature cache limits the amount of data Duplicati needs to download by keeping a copy on the machine, enabling this feature makes the backups faster",""
"GUI\ApplicationSetup.zh-CN.resx","SignatureCachePathBrowse.Text","missing","...",""
"GUI\ApplicationSetup.zh-CN.resx","SignatureCachePathBrowse.ToolTip","missing","Browse for the signature cache folder",""
"GUI\ApplicationSetup.zh-CN.resx","StartupDelayDuration.ToolTip","missing","Select the amount of time Duplicat is paused after startup",""
"GUI\ApplicationSetup.zh-CN.resx","TempPath.ToolTip","missing","Enter the path where Duplicati stores temporary files",""
"GUI\ApplicationSetup.zh-CN.resx","TempPathBrowse.Text","missing","...",""
"GUI\ApplicationSetup.zh-CN.resx","TempPathBrowse.ToolTip","missing","Browse for the temporary folder",""
"GUI\ApplicationSetup.zh-CN.resx","ThreadPriorityPicker.ToolTip","missing","Set the initial thread priority to be used by Duplicati",""
"GUI\ApplicationSetup.zh-CN.resx","UseCommonPassword.Text","missing","Use password for new backups:",""
"GUI\ApplicationSetup.zh-CN.resx","UseCommonPassword.ToolTip","missing","Enable this to use the same password for multiple backups",""
"GUI\HelperControls\BackupFileList.zh-CN.resx","changeDestinationToolStripMenuItem.Text","missing","Change destination...",""
"GUI\HelperControls\BackupFileList.zh-CN.resx","folderBrowserDialog.Description","missing","Select the folder to restore to",""
"GUI\HelperControls\BackupFileList.zh-CN.resx","LoadingIndicator.Text","missing","Reading filelist, please wait ...",""
"GUI\HelperControls\BackupItems.zh-CN.resx","statusLabel.Text","missing","Loading list of backups",""
"GUI\HelperControls\BackupItems.zh-CN.resx","viewFilesToolStripMenuItem.Text","missing","View contents ...",""
"GUI\HelperControls\BandwidthLimit.zh-CN.resx","DownloadLimitCheckbox.Text","missing","Download limit (restore)",""
"GUI\HelperControls\BandwidthLimit.zh-CN.resx","UploadLimitCheckbox.Text","missing","Upload limit (backup)",""
"GUI\HelperControls\CommandLineOptionGrid.zh-CN.resx","argumentDataGridViewTextBoxColumn.HeaderText","missing","argument",""
"GUI\HelperControls\CommandLineOptionGrid.zh-CN.resx","dataGridViewTextBoxColumn1.HeaderText","missing","argument",""
"GUI\HelperControls\CommandLineOptionGrid.zh-CN.resx","enabledDataGridViewCheckBoxColumn.HeaderText","missing","Enabled",""
"GUI\HelperControls\CommandLineOptionGrid.zh-CN.resx","nameDataGridViewTextBoxColumn.HeaderText","missing","Name",""
"GUI\HelperControls\CommandLineOptionGrid.zh-CN.resx","valueDataGridViewTextBoxColumn.HeaderText","missing","Value",""
"GUI\HelperControls\DurationEditor.zh-CN.resx","CustomDuration.Error","missing","s",""
"GUI\HelperControls\DurationEditor.zh-CN.resx","EasyDuration.Items","missing","Each day",""
"GUI\HelperControls\DurationEditor.zh-CN.resx","EasyDuration.Items1","missing","Each week",""
"GUI\HelperControls\DurationEditor.zh-CN.resx","EasyDuration.Items2","missing","Each second week",""
"GUI\HelperControls\DurationEditor.zh-CN.resx","EasyDuration.Items3","missing","Each month",""
"GUI\HelperControls\DurationEditor.zh-CN.resx","EasyDuration.Items4","missing","Custom ...",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","$this.Text","missing","FilterDialog",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","BrowseFileButton.Text","missing","...",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","CancelBtn.Text","missing","Cancel",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","Exclusive.Text","missing","Exclude files matching the filter",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","folderBrowserDialog.Description","missing","Select the folder path to use for the filter",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","HelpLink.Text","missing","Filter help",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","Inclusive.Text","missing","Include files matching the filter",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","IsRegExp.Text","missing","Filter is regular expression",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","label1.Text","missing","Filter",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","OKBtn.Text","missing","OK",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","openFileDialog.Filter","missing","All files (*.*)|*.*",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","openFileDialog.Title","missing","Select the file to use for the filter",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","AddFilterButton.ToolTipText","missing","Add a new filter",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","btnTestSearch.Text","missing","Test Search Selection...",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","EditFilterButton.ToolTipText","missing","Edit the selected filter",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","ExcludeFolderButton.ToolTipText","missing","Adds an excluded folder to the list",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","groupBox1.Text","missing","Filters",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","HelpButton.Text","missing","Filter help",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","HelpButton.ToolTipText","missing","Opens the Duplicati Filter usage Wiki page",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","IncludeFolderButton.ToolTipText","missing","Adds an included folder to the list",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","label1.Text","missing","Test a filename:",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","MoveFilterBottomButton.ToolTipText","missing","Move the selected filter to the bottom",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","MoveFilterDownButton.ToolTipText","missing","Move the selected filter down",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","MoveFilterTopButton.ToolTipText","missing","Move the selected filter to the top",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","MoveFilterUpButton.ToolTipText","missing","Move the selected filter up",""
"GUI\HelperControls\FilterEditor.zh-CN.resx","RemoveFilterButton.ToolTipText","missing","Remove the selected filter",""
"GUI\HelperControls\FolderPathEntry.zh-CN.resx","BrowseFolderButton.Text","missing","...",""
"GUI\HelperControls\FolderPathEntry.zh-CN.resx","BrowseFolderButton.ToolTip","missing","Click to browse for a folder",""
"GUI\HelperControls\FolderPathEntry.zh-CN.resx","DeleteButton.ToolTip","missing","Click to remove the entry",""
"GUI\HelperControls\FolderPathEntry.zh-CN.resx","FolderPath.ToolTip","missing","Enter the path to the folder here",""
"GUI\HelperControls\FolderPathEntry.zh-CN.resx","SizeLabel.Text","missing","(...)",""
"GUI\HelperControls\FolderPathEntry.zh-CN.resx","SizeLabel.ToolTip","missing","The size of the selected folder",""
"GUI\HelperControls\Strings\BackupFileList.zh-CN.resx","RootNodeTooltip","not-updated","Source folder {0}
Target folder: {1}
Right click to change target folder",""
"GUI\HelperControls\Strings\BackupItems.zh-CN.resx","ErrorStatusDisplay","not-updated","Error: {0}",""
"GUI\HelperControls\Strings\BackupItems.zh-CN.resx","NoDataReceived","not-updated","No data received",""
"GUI\HelperControls\Strings\BackupItems.zh-CN.resx","OperationCancelled","not-updated","Cancelled",""
"GUI\HelperControls\Strings\BackupItems.zh-CN.resx","TooltipFullBackup","not-updated","Full backup",""
"GUI\HelperControls\Strings\BackupItems.zh-CN.resx","TooltipFullBackupWithSize","not-updated","Full backup - {0}",""
"GUI\HelperControls\Strings\BackupItems.zh-CN.resx","TooltipIncrementalBackup","not-updated","Incremental backup",""
"GUI\HelperControls\Strings\BackupItems.zh-CN.resx","TooltipIncrementalBackupWithSize","not-updated","Incremental backup - {0}, chain: {1}",""
"GUI\HelperControls\Strings\BackupTreeView.zh-CN.resx","ConfirmDeleteFolder","not-updated","Do you want to delete the folder {0} and all the backups contained in it?",""
"GUI\HelperControls\Strings\BackupTreeView.zh-CN.resx","ConfirmRemoveBackup","not-updated","Remove the backup '{0}' ?",""
"GUI\HelperControls\Strings\BackupTreeView.zh-CN.resx","NewBackup","not-updated","New Backup",""
"GUI\HelperControls\Strings\BackupTreeView.zh-CN.resx","NewFolder","not-updated","New Folder",""
"GUI\HelperControls\Strings\CommandLineOptionsGrid.zh-CN.resx","InfoLabelFormat","not-updated","Value type: {0}. 
{1}. 
{2}",""
"GUI\HelperControls\Strings\CommandLineOptionsGrid.zh-CN.resx","PageNotSupportedWarning","not-updated","This page is not supported on the current platform, this is a known issue.
A newer version of Mono will enable this page.",""
"GUI\HelperControls\Strings\DurationEditor.zh-CN.resx","CustomDuration","not-updated","Custom ...",""
"GUI\HelperControls\Strings\FilterDialog.zh-CN.resx","InvalidRegExpMessage","not-updated","The expression is not a valid regular expression: {0}",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","ExcludeFolderBrowseTitle","not-updated","Choose the folder to add for exclusion",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","FileIsExcluded","not-updated","The file {0} is excluded due to rule {1}",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","FileIsIncluded","not-updated","The file {0} is included due to rule {1}",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","FileIsIncludedDefault","not-updated","The file {0} is included because no rule matched",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","FilenameIsNotInAnyRootFolder","not-updated","The filename {0} is not located in any of the source folders",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","FilepathIsNotAbsoluteError","not-updated","The filename {0} is not an absolute path",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","FolderIsExcluded","not-updated","The folder {0} is excluded due to rule {1}",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","FolderIsRootFolder","not-updated","The folder {0} is included because it is a source folder",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","IncludeFolderBrowseTitle","not-updated","Choose the folder to add for inclusion",""
"GUI\HelperControls\Strings\FilterEditor.zh-CN.resx","InvalidCharsInFilenameError","not-updated","The filename {0} has invalid characters",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","BytesName","not-updated","bytes",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","BytesPerSecond","not-updated","bytes/s",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","GBName","not-updated","GB",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","GBPerSecond","not-updated","GB/s",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","KBName","not-updated","kB",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","KBPerSecond","not-updated","kB/s",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","MBName","not-updated","MB",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","MBPerSecond","not-updated","MB/s",""
"GUI\HelperControls\Strings\TestSearchSelection.zh-CN.resx","FileName","not-updated","File Name '{0}'",""
"GUI\HelperControls\Strings\TestSearchSelection.zh-CN.resx","FileType","not-updated","File Type '{0}'",""
"GUI\HelperControls\Strings\TestSearchSelection.zh-CN.resx","TotalSizeLabel","not-updated","Total {0} files at {1}",""
"GUI\HelperControls\Strings\WaitForOperation.zh-CN.resx","ReallyAbortQuestion","not-updated","Are you sure you want to abort the operation?",""
"GUI\HelperControls\Strings\WaitForOperation.zh-CN.resx","UserCancelled","not-updated","The user cancelled the operation",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","$this.Text","missing","Test Search Selection",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","btnCancel.Text","missing","Cancel",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","btnOK.Text","missing","OK",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chFile.Text","missing","Filename",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chFileExt.Text","missing","Ext",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chPath.Text","missing","Path",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chSize.Text","missing","Size",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","label1.Text","missing","Filters:",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","label2.Text","missing","Use context menu to add and remove filters",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","label3.Text","missing","Files to be included:",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","lbLoading.Text","missing","Scanning files, please wait....",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExclude.Text","missing","Exclude",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExcludeFileExt.Text","missing","Add file extension filter",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExcludeFileName.Text","missing","Add filename filter",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExcludeFilePath.Text","missing","File Path",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miInclude.Text","missing","Include",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miIncludeFileExt.Text","missing","Add file extension filter",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miIncludeFileName.Text","missing","Add filename filer",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miIncludeFilePath.Text","missing","File path",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","removeFilterToolStripMenuItem.Text","missing","Remove Filter",""
"GUI\HelperControls\ThreadPriorityPicker.zh-CN.resx","ThreadPriority.Items","missing","High (Not recommended)",""
"GUI\HelperControls\ThreadPriorityPicker.zh-CN.resx","ThreadPriority.Items1","missing","Above normal",""
"GUI\HelperControls\ThreadPriorityPicker.zh-CN.resx","ThreadPriority.Items2","missing","Normal",""
"GUI\HelperControls\ThreadPriorityPicker.zh-CN.resx","ThreadPriority.Items3","missing","Below normal",""
"GUI\HelperControls\ThreadPriorityPicker.zh-CN.resx","ThreadPriority.Items4","missing","Low",""
"GUI\HelperControls\ThreadPriorityPicker.zh-CN.resx","ThreadPriorityEnabled.Text","missing","Set thread priority",""
"GUI\HelperControls\WaitForOperation.zh-CN.resx","$this.Text","missing","WaitForOperation",""
"GUI\ListBackupFiles.zh-CN.resx","$this.Text","missing","Files in selected backup",""
"GUI\ListBackupFiles.zh-CN.resx","CancelBtn.Text","missing","Close",""
"GUI\ListBackupFiles.zh-CN.resx","groupBox1.Text","missing","Loading file list, please wait ...",""
"GUI\LogViewer.zh-CN.resx","$this.Text","missing","Log data",""
"GUI\MainForm.zh-CN.resx","$this.Text","missing","Duplicati Control Window",""
"GUI\MainForm.zh-CN.resx","controlToolStripMenuItem.Text","missing","Control",""
"GUI\MainForm.zh-CN.resx","DelayDuration05Menu.Text","missing","5 minutes",""
"GUI\MainForm.zh-CN.resx","DelayDuration15Menu.Text","missing","15 minutes",""
"GUI\MainForm.zh-CN.resx","DelayDuration30Menu.Text","missing","30 minutes",""
"GUI\MainForm.zh-CN.resx","DelayDuration60Menu.Text","missing","1 hour",""
"GUI\MainForm.zh-CN.resx","label1.Text","missing","Duplicati dummy window",""
"GUI\MainForm.zh-CN.resx","optionsToolStripMenuItem.Text","missing","Options...",""
"GUI\MainForm.zh-CN.resx","pausePeriodToolStripMenuItem.Text","missing","Pause period",""
"GUI\MainForm.zh-CN.resx","pauseToolStripMenuItem.Text","missing","Pause",""
"GUI\MainForm.zh-CN.resx","quitToolStripMenuItem.Text","missing","Quit",""
"GUI\MainForm.zh-CN.resx","statusToolStripMenuItem.Text","missing","Status",""
"GUI\MainForm.zh-CN.resx","stopToolStripMenuItem.Text","missing","Stop",""
"GUI\MainForm.zh-CN.resx","throttleOptionsToolStripMenuItem.Text","missing","Throttle options...",""
"GUI\MainForm.zh-CN.resx","wizardToolStripMenuItem.Text","missing","Wizard...",""
"GUI\RestoreBackup.zh-CN.resx","$this.Text","missing","RestoreBackup",""
"GUI\RestoreBackup.zh-CN.resx","CancelBtn.Text","missing","Cancel",""
"GUI\RestoreBackup.zh-CN.resx","folderBrowserDialog.Description","missing","Select the folder where the data will be restored to",""
"GUI\RestoreBackup.zh-CN.resx","label1.Text","missing","Backup to restore",""
"GUI\RestoreBackup.zh-CN.resx","label2.Text","missing","Destination",""
"GUI\RestoreBackup.zh-CN.resx","OKBtn.Text","missing","OK",""
"GUI\RestoreBackup.zh-CN.resx","SelectTargetFolder.Text","missing","...",""
